Date,AGG,DBC,DFE,DIA,DXJ,EEM,EFA,EWG,EWH,EWI,EWT,EWU,EWW,EWY,EWZ,EZU,FEZ,FXI,GDX,GLD,IAU,IBB,ITB,IVV,IWD,IWM,IYR,KBE,KRE,LQD,OIL,SDS,SH,SLV,SPY,USO,VGK,VNQ,VTI,VWO,XHB,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,XME,XOP,USDOLLAR
2007-02-12,304700,209100,49900,7915300,22100,26966700,5574600,380700,1022900,118100,3549900,251800,2818700,1585700,5055800,147400,43100,3498801,417800,3489400,768000,1147800,112200,401900,572400,34467400,8743300,800,405800,572300,96100,197875,60300,4220000,53280600,4647600,172900,260900,267200,552400,1411300,2552200,17033800,9315600,2615200,2487900,908300,1620500,1355100,825300,74400,20100,0
2007-02-13,227400,205800,66300,5923100,7800,29740500,4568100,159900,3261000,143700,9435600,285900,2683200,1977100,4851200,105200,28200,3199701,363000,3580100,778000,1072200,93600,515800,892900,40479000,7031000,98500,41200,97600,96700,141075,46300,4222000,64081800,2668600,231700,170800,235600,562400,1536400,15392900,14906200,8369500,4794100,1531200,769900,3104100,1263900,934500,96600,22600,0
2007-02-14,269400,383800,85400,7309000,21100,35832099,5537400,340400,1980100,90700,5485600,338600,3681700,2182200,7625800,237200,73500,3353199,472900,3812400,1522000,967800,154300,743500,826600,61807200,5126000,20300,405300,102700,168600,192850,99900,4736000,63726000,4829500,154200,178800,361000,588400,1874700,5216600,23255500,9716700,2324200,1017100,1683000,2577300,2023300,965400,61900,53900,0
2007-02-15,438500,191200,47800,5864800,6900,14160099,4189800,220900,1590500,30900,6085600,273500,2346400,481700,3778100,105200,29100,2375100,445200,7321600,1898000,698000,24600,756500,1096300,43042900,3422300,2500,488400,141900,218500,107300,17600,3591000,36213900,3488400,121900,175700,396600,545400,1423800,3638100,24937700,9700900,1413100,3059500,978200,6255000,1133600,1416900,149000,137200,0
2007-02-16,309400,155700,37100,5653200,14200,14712000,4884500,290400,1597900,28900,6004000,214000,1495900,1385300,2223000,109800,8300,2520999,363800,2900400,1402000,656300,94900,643000,1512600,40697100,3099400,24700,389000,149700,144400,90550,24100,2063000,36910300,2924800,125000,130300,323000,413200,4715500,2432300,16135400,5495000,971200,2046300,1130600,2878800,1294300,830700,32100,22200,0
2007-02-20,252400,201100,85700,5423000,44000,15336900,7948700,929400,1956200,452200,3459000,523800,1796700,900400,3113600,236000,118900,3097299,853300,4077300,1533000,906300,21100,1082200,907700,71259600,2623000,39200,384000,101600,104800,190450,15400,4188000,54252300,2727200,293000,106900,372000,523800,511700,3335400,15105000,5287300,1537700,1320100,1113900,2278200,739000,920100,112300,13200,0
2007-02-21,223200,332500,96600,4901200,5600,14267301,6747100,583400,1520200,30300,3618500,119400,2264900,781500,5270100,82400,24900,4098501,1070800,10603500,2226000,915100,137000,928000,866300,38303400,1818500,138500,416000,120500,159100,150175,90300,6374000,59508100,4245300,108400,129900,347800,528000,1821400,3725900,20223000,3762300,2063700,1164700,837200,1938000,950700,2060800,226400,15000,0
2007-02-22,188000,260500,133000,7094400,13600,23239599,4327000,371100,1932500,201200,4427000,138700,4047900,1033800,7572600,237800,17900,3392799,660800,6100800,1160000,684900,165500,1571600,829300,57973600,2491600,2275600,389400,99800,148300,195250,32000,3498000,75122000,3443100,189000,96700,293800,452600,2098000,1926600,21159700,9455700,1520900,3571600,2054600,2015900,1284300,1168400,139800,23000,0
2007-02-23,360200,527700,106000,5825800,21500,27031200,3725200,357800,2409400,101200,5787400,104100,4127400,643100,6167800,93000,20100,4305999,1077000,7576500,1420000,1310500,94300,983400,1013100,57618200,5230500,1417600,340600,103700,356700,156925,36300,4350000,70299500,3821800,91600,166700,239600,500200,4310300,4535200,16418700,14436200,1952900,1002000,1364800,3981200,889000,793700,61000,185700,0
2007-02-26,222600,555400,66700,7002000,12500,14555901,4532700,371200,1227800,41100,5782200,141000,3846800,569500,4353900,182000,12100,2748000,589000,4899200,1269000,374000,108400,1186400,1614000,77914100,5282700,369600,428000,109600,93000,147450,41000,3933000,66597700,2579700,198500,216200,396000,490600,1450800,4041300,19028800,17335500,1248700,987000,989300,7852500,1881400,908200,63000,16500,0
2007-02-27,379000,192300,277400,30511300,30400,83532399,12690900,1120300,6945500,239000,12054300,652200,10100200,2905900,19220100,900000,338000,26066700,1582800,13660400,4128000,2745900,246000,3279500,1909900,28059100,9703700,123300,955800,143800,192400,1325375,354200,8461000,52398400,5081000,851700,294900,1618400,2105200,3920100,8982800,49117100,29413500,4084800,4635000,4587200,6739800,3014600,3472800,307600,121900,0
2007-02-28,533700,324900,76600,18503300,9300,62298501,8034400,1264000,4812500,75000,8964800,876500,5894300,1998300,10162200,991400,150400,16184400,1257000,7626600,2542000,2152000,188200,2623500,1140300,93396600,5646900,615200,692200,87000,187200,620325,245600,5019000,61219300,3298000,524100,919000,927800,2329600,3887300,8425800,32495800,21610000,3087900,3605700,2055800,6085800,2321200,5428500,1434700,106200,0
2007-03-01,658900,169100,165200,23175800,32700,58029099,10991100,1445200,3750400,57100,5191900,341900,4916500,1946300,12188500,596200,112300,9056199,612700,6473500,1921000,4874100,224200,2549100,1838500,92511600,6542300,126000,698200,141700,156900,937850,327900,8122000,85903900,2625900,419100,276000,1116800,1344600,3121000,7689100,31654600,25760200,2116400,3656300,1840700,5694200,2390500,2578500,103000,77500,0
2007-03-02,187600,295700,71400,16791000,14100,55592199,6942100,473000,9073200,411400,4328300,745200,4129500,1955200,10394500,781800,108200,8360400,1291600,12939100,2631000,2008900,52500,6645200,1120400,92465300,3706600,135200,88200,145600,99300,607450,504200,13094000,37331700,2557600,228200,156400,383800,1332800,1262200,5902000,33689200,12273300,3169400,2596700,2109400,6925200,2557400,1890100,131500,207100,0
2007-03-05,262600,658500,529900,13823200,28100,53257101,8024600,534800,9508800,148600,7625000,2533000,5064700,1904600,11880800,510800,437100,10999101,861400,7917500,2617000,2435400,287200,1625800,981500,14679000,7758900,299100,829800,98100,110000,834075,477900,11690000,27008000,3613200,435400,297200,770200,2318000,2041600,5999300,34430200,17018100,3374100,1354700,2057600,2561500,1440300,2997800,355200,65500,0
